Instruccion-literal;Opcode;Instrucción;Operando 1;Operando 2;Opcode;Opcodebinario;s1;s2;s3;ma1;ma2;mb1;mb2;la;lb;lpc;w
NOP;00000000000;NOP;;;62;111110;0;0;0;0;0;0;0;0;0;0;0
MOV A, B;00000101100;MOV;A;B;0;0;0;0;0;0;0;1;0;1;1;0;0
MOV B, A;00010000000;MOV;B;A;1;1;0;0;0;1;0;0;0;0;0;0;0
MOV A, Lit;00000011000;MOV;A;Lit;2;10;0;0;0;0;0;0;1;1;0;0;0
MOV B, Lit;00000010000;MOV;B;Lit;3;11;0;0;0;0;0;0;1;0;0;0;0
MOV A, (Dir);00000111000;MOV;A;(Dir);4;100;0;0;0;0;0;1;1;1;0;0;0
MOV B, (Dir);00000110000;MOV;B;(Dir);5;101;0;0;0;0;0;1;1;0;0;0;0
MOV (Dir), A;00010110001;MOV;(Dir);A;6;110;0;0;0;1;0;1;1;0;0;0;1
MOV (Dir), B;000100101;MOV;(Dir);B;7;111;0;0;0;;;1;0;0;1;0;1
ADD A, B;00010101100;ADD;A;B;8;1000;0;0;0;1;0;1;0;1;1;0;0
ADD B, A;00010100000;ADD;B;A;9;1001;0;0;0;1;0;1;0;0;0;0;0
ADD A, Lit;00010011000;ADD;A;Lit;10;1010;0;0;0;1;0;0;1;1;0;0;0
ADD B, Lit;000100000;ADD;B;Lit;11;1011;0;0;0;;;1;0;0;0;0;0
ADD A, (Dir);00010111000;ADD;A;(Dir);12;1100;0;0;0;1;0;1;1;1;0;0;0
ADD B, (Dir);00011100000;ADD;B;(Dir);13;1101;0;0;0;1;1;1;0;0;0;0;0
ADD (Dir);00010100001;ADD;(Dir);;14;1110;0;0;0;1;0;1;0;0;0;0;1
SUB A, B;00110101100;SUB;A;B;15;1111;0;0;1;1;0;1;0;1;1;0;0
SUB B, A;00110100000;SUB;B;A;16;10000;0;0;1;1;0;1;0;0;0;0;0
SUB A, Lit;00110011000;SUB;A;Lit;17;10001;0;0;1;1;0;0;1;1;0;0;0
SUB B, Lit;001100000;SUB;B;Lit;18;10010;0;0;1;;;1;0;0;0;0;0
SUB A, (Dir);00110111000;SUB;A;(Dir);19;10011;0;0;1;1;0;1;1;1;0;0;0
SUB B, (Dir);001100000;SUB;B;(Dir);20;10100;0;0;1;;;1;0;0;0;0;0
SUB (Dir);00110100001;SUB;(Dir);;21;10101;0;0;1;1;0;1;0;0;0;0;1
AND A, B;01010101100;AND;A;B;22;10110;0;1;0;1;0;1;0;1;1;0;0
AND B, A;01010100000;AND;B;A;23;10111;0;1;0;1;0;1;0;0;0;0;0
AND A, Lit;01010011000;AND;A;Lit;24;11000;0;1;0;1;0;0;1;1;0;0;0
AND B, Lit;010100000;AND;B;Lit;25;11001;0;1;0;;;1;0;0;0;0;0
AND A, (Dir);01010111000;AND;A;(Dir);26;11010;0;1;0;1;0;1;1;1;0;0;0
AND B, (Dir);010100000;AND;B;(Dir);27;11011;0;1;0;;;1;0;0;0;0;0
AND (Dir);01010100001;AND;(Dir);;28;11100;0;1;0;1;0;1;0;0;0;0;1
OR A, B;01110101100;OR;A;B;29;11101;0;1;1;1;0;1;0;1;1;0;0
OR B, A;01110100000;OR;B;A;30;11110;0;1;1;1;0;1;0;0;0;0;0
OR A, Lit;01110011000;OR;A;Lit;31;11111;0;1;1;1;0;0;1;1;0;0;0
OR B, Lit;011100000;OR;B;Lit;32;100000;0;1;1;;;1;0;0;0;0;0
OR A, (Dir);01110111000;OR;A;(Dir);33;100001;0;1;1;1;0;1;1;1;0;0;0
OR B, (Dir);011100000;OR;B;(Dir);34;100010;0;1;1;;;1;0;0;0;0;0
OR (Dir), ;01110100001;OR;(Dir);;35;100011;0;1;1;1;0;1;0;0;0;0;1
XOR A, B;10010101100;XOR;A;B;36;100100;1;0;0;1;0;1;0;1;1;0;0
XOR B, A;10010100000;XOR;B;A;37;100101;1;0;0;1;0;1;0;0;0;0;0
XOR A, Lit;10010011000;XOR;A;Lit;38;100110;1;0;0;1;0;0;1;1;0;0;0
XOR B, Lit;100100000;XOR;B;Lit;39;100111;1;0;0;;;1;0;0;0;0;0
XOR A, (Dir);10010111000;XOR;A;(Dir);40;101000;1;0;0;1;0;1;1;1;0;0;0
XOR B, (Dir);100100000;XOR;B;(Dir);41;101001;1;0;0;;;1;0;0;0;0;0
XOR (Dir);10010100001;XOR;(Dir);;42;101010;1;0;0;1;0;1;0;0;0;0;1
NOT A, ;10110001000;NOT;A;;43;101011;1;0;1;1;0;0;0;1;0;0;0
NOT B, A;10110100000;NOT;B;A;44;101100;1;0;1;1;0;1;0;0;0;0;0
NOT (Dir), A;10110110001;NOT;(Dir);A;45;101101;1;0;1;1;0;1;1;0;0;0;1
SHL A;11010001000;SHL;A;;46;101110;1;1;0;1;0;0;0;1;0;0;0
